32,4.22e-08,0.000222105,0.000147095,
64,5.89e-08,0.000336476,0.000259108,
128,1.0622e-07,0.000641445,0.000554829,
256,1.8604e-07,0.00066227,0.000563583,
512,3.5266e-07,0.000534071,0.000424553,
1024,6.5604e-07,0.000544344,0.000469347,
2048,1.27418e-06,0.000532364,0.000426435,
4096,2.5075e-06,0.000517935,0.000433059,
8192,5.129e-06,0.000515277,0.000451689,
16384,1.02988e-05,0.000552522,0.000477314,
32768,2.0379e-05,0.000554602,0.00049056,
65536,4.08492e-05,0.000509318,0.000599322,
131072,8.17525e-05,0.000542247,0.000835865,
262144,0.000165822,0.000555759,0.00114774,
524288,0.00033086,0.000598316,0.00193341,
1.04858e+06,0.00065405,0.000719356,0.00361613,
2.09715e+06,0.00155755,0.000983204,0.00673169,
4.1943e+06,0.00278226,0.0017453,0.0135207,
8.38861e+06,0.00631162,0.00262983,0.0262161,
1.67772e+07,0.0120215,0.00453509,0.0546209,
3.35544e+07,0.0247129,0.0118688,0.106745,
6.71089e+07,0.0879875,0.0126278,0.238311,
1.34218e+08,0.159815,0.0226531,0.463768,
2.68435e+08,0.18112,0.0501163,0.825465,
5.36871e+08,0.354073,0.100759,1.66974,
1.07374e+09,0.701486,0.203111,3.33156,
